hero_id,hero_ja,role,sub_role,hanzo_comp_stats.threat_hanzo,hanzo_comp_stats.sonic_arrow_value,hanzo_comp_stats.storm_arrows_value,hanzo_comp_stats.lunge_wall_climb_value,hanzo_comp_stats.dragonstrike_denial,hanzo_comp_stats.sightline_value,hanzo_comp_stats.matchup_rating,hanzo_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dragonstrike_check,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.target_priority,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.reason,key_enemy_skills.hack_cast_start,key_enemy_skills.hack_confirmed_unavailable,key_enemy_skills.hack_confirmed_available,cross_target_recalibration,torbjorn_reassessment_note,hanzo_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.mirror_matchup,cross_target_recalibration.diff_points
D.Va,D.Va,タンク,イニシエーター,10,9,8,9,6,6,2,6,"[""mobility_threat"", ""air_pressure""]","[""ブースター"", ""ディフェンス・マトリックス"", ""自爆""]","[""ブースター後"", ""ディフェンス・マトリックス後""]","[""自爆"", ""ブースター""]",D.Vaが入ってくるダイブ経路へ鳴響矢水を置き、着地や移動スキル使用後に電光石火を合わせる。深追いせず、壁登りと体術で次の高台へずらす。,ブースター後、味方後衛へ仕掛けた瞬間,龍撃波はD.Va単体を倒すより、入ってきた後ろの味方や退路へ流して分断する。,,,,,,,,,,,,,,,,,,
Winston,ウィンストン,タンク,イニシエーター,9,8,8,9,6,5,3,6,"[""mobility_threat""]","[""ジャンプ・パック"", ""バリア・プロジェクター"", ""テスラ・キャノン""]","[""ジャンプ・パック後"", ""バリア・プロジェクター後""]","[""ジャンプ・パック""]",ウィンストンが入ってくるダイブ経路へ鳴響矢水を置き、着地や移動スキル使用後に電光石火を合わせる。深追いせず、壁登りと体術で次の高台へずらす。,ジャンプ・パック後、味方後衛へ仕掛けた瞬間,龍撃波はウィンストン単体を倒すより、入ってきた後ろの味方や退路へ流して分断する。,,,,,,,,,,,,,,,,,,
Orisa,オリーサ,タンク,ブルーザー,5,6,7,5,8,8,6,5,"[""brawl_frontline""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]",オリーサが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はオリーサの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Zarya,ザリア,タンク,ブルーザー,5,5,7,5,7,6,6,5,"[""brawl_frontline""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット""]","[""グラビトン・サージ""]",ザリアが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はザリアの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Sigma,シグマ,タンク,ストールワート,5,6,6,5,8,7,5,4,"[""standard_angle_control""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""キネティック・グラスプ"", ""アクリーション""]",シグマを撃ち続けるだけで試合を進めない。鳴響矢水で後ろのサポート位置を味方に知らせて、前線を削りながら横に出た敵へ嵐ノ弓を通す。,前線スキル使用後、後ろのサポートが顔を出した瞬間,龍撃波はシグマを削るだけでなく、前線と回復役を分けるように撃つ。,,,,,,,,,,,,,,,,,,
Junker Queen,ジャンカー・クイーン,タンク,ストールワート,5,5,7,5,7,6,6,5,"[""brawl_frontline""]","[""ランペイジ""]","[""ギザギザブレード"", ""カーネイジ""]","[""ランペイジ""]",ジャンカー・クイーンが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はジャンカー・クイーンの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Doomfist,ドゥームフィスト,タンク,イニシエーター,10,10,10,10,6,5,3,8,"[""mobility_threat""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""ロケット・パンチ"", ""サイズミック・スラム"", ""パワー・ブロック""]","[""パワー・ブロック"", ""ロケット・パンチ"", ""サイズミック・スラム""]",ドゥームフィストが入ってくるダイブ経路へ鳴響矢水を置き、着地や移動スキル使用後に電光石火を合わせる。深追いせず、壁登りと体術で次の高台へずらす。,ロケット・パンチ、味方後衛へ仕掛けた瞬間,龍撃波はドゥームフィスト単体を倒すより、入ってきた後ろの味方や退路へ流して分断する。,,,,,,,,,,,,,,,,,,
Domina,ドミナ,タンク,ストールワート,5,5,7,5,7,6,6,5,"[""brawl_frontline""]","[""バリア・アレイ"", ""パノプティコン""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""パノプティコン""]",ドミナが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はドミナの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Hazard,ハザード,タンク,ストールワート,9,8,8,9,6,5,3,6,"[""mobility_threat""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""スパイク・ガード""]","[""スパイク・ガード"", ""ジャギー・ウォール"", ""ヴァイオレント・リープ""]",ハザードが入ってくるダイブ経路へ鳴響矢水を置き、着地や移動スキル使用後に電光石火を合わせる。深追いせず、壁登りと体術で次の高台へずらす。,ヴァイオレント・リープ、味方後衛へ仕掛けた瞬間,龍撃波はハザード単体を倒すより、入ってきた後ろの味方や退路へ流して分断する。,,,,,,,,,,,,,,,,,,
Mauga,マウガ,タンク,ブルーザー,5,5,7,5,7,6,6,5,"[""brawl_frontline""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]",マウガが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はマウガの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Reinhardt,ラインハルト,タンク,ストールワート,5,5,8,5,9,6,6,5,"[""brawl_frontline""]","[""バリア・フィールド"", ""チャージ"", ""アース・シャター""]","[""チャージ後"", ""バリア・フィールド消耗後""]","[""アース・シャター""]",ラインハルトが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はラインハルトの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Ramattra,ラマットラ,タンク,ストールワート,5,6,7,5,8,8,6,5,"[""brawl_frontline""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""ブロック"", ""アナイアレーション""]",ラマットラが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はラマットラの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Wrecking Ball,レッキング・ボール,タンク,イニシエーター,10,10,10,10,6,5,3,8,"[""mobility_threat""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""パイルドライバー"", ""ロール""]","[""アダプティブ・シールド"", ""パイルドライバー"", ""グラップリング・クロー""]",レッキング・ボールが入ってくるダイブ経路へ鳴響矢水を置き、着地や移動スキル使用後に電光石火を合わせる。深追いせず、壁登りと体術で次の高台へずらす。,グラップリング・クロー、味方後衛へ仕掛けた瞬間,龍撃波はレッキング・ボール単体を倒すより、入ってきた後ろの味方や退路へ流して分断する。,,,,,,,,,,,,,,,,,,
Roadhog,ロードホッグ,タンク,ブルーザー,5,5,7,5,7,6,6,5,"[""brawl_frontline""]","[""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン""]","[""チェイン・フック""]",ロードホッグが正面のスペースを占拠される前に嵐ノ弓と電光石火で前線を削る。近づかれたらその場で粘らず、体術と壁登りで横の射線位置へ移る。,正面のスペースへ入る直前、防御・救助・移動スキル使用後,龍撃波はロードホッグの正面へ雑に撃つより、後ろの回復役と前線を分断する軌道で使う。,,,,,,,,,,,,,,,,,,
Ashe,アッシュ,ダメージ,シャープシューター,6,6,5,5,5,8,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41""]","[""コーチ・ガン"", ""B.O.B""]","[""ダイナマイト"", ""コーチ・ガン""]","[""B.O.B"", ""コーチ・ガン""]",アッシュとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はアッシュの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,アッシュとは長い射線の勝負になる。ハンゾーはダイナマイトを避け、鳴響矢水で相手が出直す位置を味方に知らせてから撃つ。,アッシュとは長い射線の勝負になる。ハンゾーはダイナマイトを避け、鳴響矢水で相手が出直す位置を味方に知らせてから撃つ。,v41,6,5,遠距離ポーク勝負,アッシュとは長い射線の勝負になる。ハンゾーはダイナマイトを避け、鳴響矢水で相手が出直す位置を味方に知らせてから撃つ。,,,,,,,,,,
