composition_tags,diagnosis_snippets,hero_id,hero_ja,key_enemy_skills,matchup_rating,role,sub_role
"[""dive_threat"", ""aerial_pressure"", ""heavy_frontline""]","{""positioning"": ""D.Vaを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""D.Vaが起点か支援かを確認して優先度を変える。""}",D.Va,D.Va,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,イニシエーター
"[""dive_threat"", ""heavy_frontline""]","{""positioning"": ""ウィンストンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ウィンストンが起点か支援かを確認して優先度を変える。""}",Winston,ウィンストン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,イニシエーター
"[""dive_threat"", ""long_range_threat"", ""heavy_frontline""]","{""positioning"": ""ドゥームフィストを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ドゥームフィストが起点か支援かを確認して優先度を変える。""}",Doomfist,ドゥームフィスト,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,イニシエーター
"[""dive_threat"", ""long_range_threat"", ""heavy_frontline""]","{""positioning"": ""ハザードを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ハザードが起点か支援かを確認して優先度を変える。""}",Hazard,ハザード,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ストールワート
"[""dive_threat"", ""heavy_frontline""]","{""positioning"": ""レッキング・ボールを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""レッキング・ボールが起点か支援かを確認して優先度を変える。""}",Wrecking Ball,レッキング・ボール,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,イニシエーター
"[""save_sustain"", ""heavy_frontline""]","{""positioning"": ""ザリアを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ザリアが起点か支援かを確認して優先度を変える。""}",Zarya,ザリア,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ブルーザー
"[""long_range_threat"", ""save_sustain"", ""heavy_frontline""]","{""positioning"": ""ジャンカー・クイーンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ジャンカー・クイーンが起点か支援かを確認して優先度を変える。""}",Junker Queen,ジャンカー・クイーン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ストールワート
"[""save_sustain"", ""heavy_frontline""]","{""positioning"": ""ドミナを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ドミナが起点か支援かを確認して優先度を変える。""}",Domina,ドミナ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ストールワート
"[""save_sustain"", ""heavy_frontline""]","{""positioning"": ""マウガを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""マウガが起点か支援かを確認して優先度を変える。""}",Mauga,マウガ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ブルーザー
"[""save_sustain"", ""heavy_frontline""]","{""positioning"": ""ラマットラを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ラマットラが起点か支援かを確認して優先度を変える。""}",Ramattra,ラマットラ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ストールワート
"[""long_range_threat"", ""save_sustain"", ""heavy_frontline""]","{""positioning"": ""ロードホッグを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ロードホッグが起点か支援かを確認して優先度を変える。""}",Roadhog,ロードホッグ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ブルーザー
"[""save_sustain"", ""heavy_frontline""]","{""positioning"": ""オリーサを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""オリーサが起点か支援かを確認して優先度を変える。""}",Orisa,オリーサ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ブルーザー
