target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,depth_score,depth_missing_fields,depth_short_fields,duplication_guardrail_length,pack_p_quality_band,pack_p_review_status,pack_q_review_status,one_line_summary,next_edit_priority,quality_version
Soldier76,ソルジャー76,D.Va,D.Va,タンク,イニシエーター,100,,,95,B,needs_depth,stable,ソルジャー76対D.Va: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Winston,ウィンストン,タンク,イニシエーター,100,,,97,B,needs_depth,stable,ソルジャー76対ウィンストン: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,タンク,イニシエーター,100,,,99,B,needs_depth,stable,ソルジャー76対ドゥームフィスト: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Hazard,ハザード,タンク,ストールワート,100,,,95,B,needs_depth,stable,ソルジャー76対ハザード: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,タンク,イニシエーター,100,,,100,B,needs_depth,stable,ソルジャー76対レッキング・ボール: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Zarya,ザリア,タンク,ブルーザー,100,,,94,B,needs_depth,stable,ソルジャー76対ザリア: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,タンク,ストールワート,100,,,101,B,needs_depth,stable,ソルジャー76対ジャンカー・クイーン: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Domina,ドミナ,タンク,ストールワート,100,,,94,B,needs_depth,stable,ソルジャー76対ドミナ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Mauga,マウガ,タンク,ブルーザー,100,,,94,B,needs_depth,stable,ソルジャー76対マウガ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Ramattra,ラマットラ,タンク,ストールワート,100,,,96,B,needs_depth,stable,ソルジャー76対ラマットラ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Roadhog,ロードホッグ,タンク,ブルーザー,100,,,97,B,needs_depth,stable,ソルジャー76対ロードホッグ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Orisa,オリーサ,タンク,ブルーザー,100,,,95,B,needs_depth,stable,ソルジャー76対オリーサ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Sigma,シグマ,タンク,ストールワート,100,,,94,B,needs_depth,stable,ソルジャー76対シグマ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Reinhardt,ラインハルト,タンク,ストールワート,100,,,97,B,needs_depth,stable,ソルジャー76対ラインハルト: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Ashe,アッシュ,ダメージ,シャープシューター,100,,,95,B,needs_depth,stable,ソルジャー76対アッシュ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Widowmaker,ウィドウメイカー,ダメージ,シャープシューター,100,,,99,B,needs_depth,stable,ソルジャー76対ウィドウメイカー: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Emre,エムレ,ダメージ,スペシャリスト,100,,,94,B,needs_depth,stable,ソルジャー76対エムレ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Cassidy,キャスディ,ダメージ,シャープシューター,100,,,96,B,needs_depth,stable,ソルジャー76対キャスディ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Sojourn,ソジョーン,ダメージ,シャープシューター,100,,,96,B,needs_depth,stable,ソルジャー76対ソジョーン: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Soldier: 76,ソルジャー76,ダメージ,スペシャリスト,100,,,98,B,needs_depth,stable,ソルジャー76対ソルジャー76: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Hanzo,ハンゾー,ダメージ,シャープシューター,100,,,95,B,needs_depth,stable,ソルジャー76対ハンゾー: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Freja,フレイヤ,ダメージ,リコン,100,,,95,B,needs_depth,stable,ソルジャー76対フレイヤ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Anran,アンラン,ダメージ,フランカー,100,,,95,B,needs_depth,stable,ソルジャー76対アンラン: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Genji,ゲンジ,ダメージ,フランカー,100,,,94,B,needs_depth,stable,ソルジャー76対ゲンジ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Shion,シオン,ダメージ,フランカー,100,,,94,B,needs_depth,stable,ソルジャー76対シオン: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
Soldier76,ソルジャー76,Sombra,ソンブラ,ダメージ,リコン,100,,,95,B,needs_depth,stable,ソルジャー76対ソンブラ: Pack Qで入る前・撃つ瞬間・失敗時の深掘りメモを追加。,維持。次回は相性評価幅または実戦レビューを確認。,v50.17
