target_id,target_ja,average_quality_score,min_quality_score,max_quality_score,a_count,b_count,c_count,d_count,e_count,needs_source_fix,needs_text_cleanup,needs_depth,needs_uniqueness,watch,stable,quality_version
Soldier76,ソルジャー76,89.0,89,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Sojourn,ソジョーン,89.0,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Cassidy,キャスディ,89.0,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Ashe,アッシュ,88.8,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Reaper,リーパー,88.6,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Symmetra,シンメトラ,88.9,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Hanzo,ハンゾー,88.8,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Torbjorn,トールビョーン,88.6,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Bastion,バスティオン,99.0,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
Mei,メイ,98.9,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
Sombra,ソンブラ,98.9,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
Tracer,トレーサー,88.6,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Genji,ゲンジ,88.6,88,89,0,51,0,0,0,0,0,51,0,0,0,v50.16
Junkrat,ジャンクラット,98.9,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
Pharah,ファラ,99.0,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
Echo,エコー,98.9,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
Emre,エムレ,98.8,98,99,51,0,0,0,0,0,0,0,0,0,51,v50.16
