target_id,target_ja,enemy_id,enemy_ja,wait_category,check_skills,punish_window,target_action,reset_action
Soldier76,ソルジャー76,D.Va,D.Va,防御・救助の使用確認,ディフェンス・マトリックス,ディフェンス・マトリックスを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Winston,ウィンストン,防御・救助の使用確認,バリア・プロジェクター,バリア・プロジェクターを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,防御・救助の使用確認,パワー・ブロック,パワー・ブロックを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Hazard,ハザード,防御・救助の使用確認,スパイク・ガード,スパイク・ガードを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,防御・救助の使用確認,アダプティブ・シールド,アダプティブ・シールドを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Zarya,ザリア,防御・救助の使用確認,パーティクル・バリア / バリア・ショット,パーティクル・バリア / バリア・ショットを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,防御・救助の使用確認,コマンディング・シャウト,コマンディング・シャウトを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Domina,ドミナ,防御・救助の使用確認,バリア・アレイ,バリア・アレイを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Mauga,マウガ,防御・救助の使用確認,カーディアック・オーバードライブ,カーディアック・オーバードライブを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Ramattra,ラマットラ,防御・救助の使用確認,ヴォイド・バリア / ブロック,ヴォイド・バリア / ブロックを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Roadhog,ロードホッグ,防御・救助の使用確認,テイク・ア・ブリーザー,テイク・ア・ブリーザーを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Orisa,オリーサ,防御・救助の使用確認,フォーティファイ / ジャベリン・スピン,フォーティファイ / ジャベリン・スピンを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Sigma,シグマ,防御・救助の使用確認,エクスペリメンタル・バリア / キネティック・グラスプ,エクスペリメンタル・バリア / キネティック・グラスプを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Reinhardt,ラインハルト,防御・救助の使用確認,バリア・フィールド,バリア・フィールドを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Ashe,アッシュ,移動・離脱の使用確認,コーチ・ガン,コーチ・ガンで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Widowmaker,ウィドウメイカー,移動・離脱の使用確認,グラップリング・フック,グラップリング・フックで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
