target_id,target_ja,average_review_score,min_review_score,stable,needs_review_depth,top_review_pattern,quality_version
Soldier76,ソルジャー76,96.1,92,51,0,救助確認,v50.18
Sojourn,ソジョーン,96.1,92,51,0,救助確認,v50.18
Cassidy,キャスディ,96.1,92,51,0,救助確認,v50.18
Ashe,アッシュ,96.1,92,51,0,救助確認,v50.18
Reaper,リーパー,96.1,92,51,0,救助確認,v50.18
Symmetra,シンメトラ,96.1,92,51,0,救助確認,v50.18
Hanzo,ハンゾー,96.1,92,51,0,救助確認,v50.18
Torbjorn,トールビョーン,96.1,92,51,0,救助確認,v50.18
Bastion,バスティオン,96.1,92,51,0,救助確認,v50.18
Mei,メイ,96.1,92,51,0,救助確認,v50.18
Sombra,ソンブラ,96.1,92,51,0,救助確認,v50.18
Tracer,トレーサー,96.1,92,51,0,救助確認,v50.18
Genji,ゲンジ,96.1,92,51,0,救助確認,v50.18
Junkrat,ジャンクラット,96.1,92,51,0,救助確認,v50.18
Pharah,ファラ,96.1,92,51,0,救助確認,v50.18
Echo,エコー,96.1,92,51,0,救助確認,v50.18
Emre,エムレ,96.1,92,51,0,救助確認,v50.18
